Property ID,Price,Bedrooms,Living Area,Kitchen Type,Terrace,Garden,Furnished
20221403,1500000€,11 bedrooms,770 m² square meters,Hyper equipped,70,Not found,No
20226411,350000€,9 bedrooms,300 m² square meters,Not found,Not found,Not found,Not found
20099588,1150000€,15 bedrooms,950 m² square meters,Installed,Not found,23,Not found
11443019,1595000€,8 bedrooms,468 m² square meters,Installed,Yes,Not found,Not found
11453441,1380000€,9 bedrooms,240 m² square meters,Semi equipped,51,Not found,Yes
11114228,2950000€,16 bedrooms,875 m² square meters,Not found,Not found,Not found,Not found
20141734,735000€,8 bedrooms,350 m² square meters,Semi equipped,22,Not found,Not found
20141733,735000€,8 bedrooms,350 m² square meters,Semi equipped,22,Not found,Not found
20084952,1112000€,8 bedrooms,842 m² square meters,Not found,Not found,Not found,Not found
11463994,1600000€,15 bedrooms,1208 m² square meters,Not found,Yes,Not found,Not found
20073748,2325000€,8 bedrooms,471 m² square meters,Installed,Not found,Not found,Not found
20073745,2325000€,8 bedrooms,471 m² square meters,Installed,Not found,Not found,Not found
20063669,1112000€,8 bedrooms,842 m² square meters,Not found,Not found,Not found,Not found
20045427,1185000€,12 bedrooms,659 m² square meters,Installed,Not found,Not found,No
20178349,2100000€,11 bedrooms,Not found,Installed,Yes,Not found,No
20182415,749000€,10 bedrooms,319 m² square meters,Not found,Not found,126,No
20158486,1739500€,12 bedrooms,Not found,Installed,Not found,Not found,No
11394710,1200000€,10 bedrooms,354 m² square meters,Not found,48,Not found,Not found
20030657,2150000€,8 bedrooms,819 m² square meters,Not found,40,Not found,No
10661999,4235000€,30 bedrooms,Not found,Not found,Not found,Not found,Not found
20220564,1495000€,13 bedrooms,768 m² square meters,Not found,Not found,Not found,Not found
20238364,3300000€,12 bedrooms,1446 m² square meters,Installed,130,Not found,No
20238343,1379000€,12 bedrooms,Not found,Hyper equipped,Yes,Not found,Not found
10799544,895000€,9 bedrooms,Not found,Hyper equipped,Yes,Not found,Not found
20237930,349000€,7 bedrooms,408 m² square meters,Semi equipped,Not found,Not found,No
20119548,1590000€,7 bedrooms,400 m² square meters,Installed,170,800,No
20237402,799000€,9 bedrooms,384 m² square meters,Installed,Not found,40,Not found
20117551,670000€,7 bedrooms,346 m² square meters,Not found,Not found,Not found,Not found
20237214,535000€,7 bedrooms,503 m² square meters,Installed,Yes,Not found,Not found
20237066,1645000€,9 bedrooms,692 m² square meters,Not found,Yes,Not found,Not found
20236708,595000€,7 bedrooms,Not found,Installed,19,Not found,No
20236656,549000€,8 bedrooms,350 m² square meters,Not found,Not found,30,No
20236654,925000€,7 bedrooms,465 m² square meters,USA uninstalled,Not found,477,No
20236657,549000€,8 bedrooms,350 m² square meters,Not found,Not found,30,No
20236655,925000€,7 bedrooms,465 m² square meters,USA uninstalled,Not found,477,No
20236653,925000€,7 bedrooms,465 m² square meters,USA uninstalled,Not found,477,No
20236535,375000€,7 bedrooms,Not found,Not found,Not found,Not found,Not found
20236391,569000€,7 bedrooms,210 m² square meters,Not found,Not found,Not found,Not found
20236274,1699000€,8 bedrooms,795 m² square meters,Not found,63,3683,No
20235935,1845000€,8 bedrooms,429 m² square meters,Hyper equipped,Not found,Not found,No
20235680,659000€,7 bedrooms,480 m² square meters,Not found,Not found,Not found,Not found
20235587,785000€,7 bedrooms,250 m² square meters,Not found,Not found,Not found,Not found
20235455,545000€,8 bedrooms,268 m² square meters,Semi equipped,Not found,Not found,Not found
20235389,629000€,7 bedrooms,418 m² square meters,Not found,Not found,Not found,Not found
20235378,425000€,8 bedrooms,387 m² square meters,Not found,Yes,850,No
20235295,425000€,8 bedrooms,387 m² square meters,Not found,Yes,850,No
20231112,599000€,7 bedrooms,501 m² square meters,Installed,Yes,Not found,No
20216060,2100000€,14 bedrooms,Not found,Not found,Not found,Not found,Not found
11462666,1650000€,7 bedrooms,301 m² square meters,Hyper equipped,Yes,Not found,No
20234242,1200000€,7 bedrooms,556 m² square meters,Installed,Yes,13406,Not found
20021539,320000€,9 bedrooms,377 m² square meters,Not installed,Yes,2000,No
